0	0	0	11.9	56.3
-34.1	27.3	22.3	0	0
0	-1.55	0	0	0
0	0	0	1.31	0
0	0	0	0	0
0	-15.9	-49.7	0	31.8
-71	0	-78.2	0	0
36.5	2.71	0	0	0
5.19	0	0	0	-33.3
0	0	0	0	0
-43.4	0	0	0	-37.2
0	0	0	0	0
0	0	0	80.8	-32.6
74.2	0	0	0	0
0	0	-81.8	0	0
0	0	0	0	0
0	0	0	-79.7	0
26.8	0	0	0	0
0	0	0	-12.6	0
0	-45.6	0	0	0
4.6	76.5	-83.2	0	0
0	-26.5	-30.3	0	0
0	0	0	0	0
0	6.73	0	-15.8	0
0	0	-3.51	0	0
64.4	0	0	0	0
0	-46.7	0	0	0
0	23.6	0	0	-16.5
0	0	-40.5	0	0
13.3	-37.3	-31.2	0	0
0	0	0	0	0
0	70.3	0	0	0
0	0	0	-33.4	-50.6
0	-32.8	24.4	73.2	0
0	0	0	0	0
0	0	0	47.1	0
-31.1	0	0	-50.3	0
0	9.55	78	-9.26	0
0	0	0	0	0
0	0	0	0	0
0	3.31	18.7	0	0
0	0	0	0	0
0	0	15.6	74	0
0	0	0	0	0
47.9	0	-62.5	-46.2	0
79.8	0	0	0	0
-10.3	0	-5.53	0	-59.1
0	0	57	0	0
0	-59.7	0	0	0
0	0	-9.24	0	0
0	0	0	0	0
0	50	0	48.5	0
0	0	83.1	0	0
0	0	0	0	0
0	11	0	0	0
0	0	0	0	0
-45.3	0	10.2	0	0
52.4	0	58.6	0	0
0	0	-5.68	0	-59.1
0	72.7	0	0	0
0	0	0	0	0
-54.1	0	0	0	0
0	-77.3	0	0	0
0	0	0	63.8	0
77.9	0	0	0	28.7
0	0	-38.5	53	53.5
0	0	0	0	-79.3
0	0	0	0	0
0	41.9	0	0	0
5.88	0	0	0	-58.1
0	-51.6	0	0	0
34.6	0	0	0	9.11
0	0	0	81.8	0
0	31.2	54.3	-15.3	39.8
0	0	0	9.49	0
0	0	0	75.5	0
-32.1	0	0	0	0
-48.1	0	-20.1	-82.6	0
0	0	15	-25.4	81.7
0	0	61.3	0	0
0	0	0	0	49.1
0	0	0	-38.9	0
0	0	0	0	77.9
0	0	0	21.7	77
0	0	-16.7	0	0
0	8.97	0	0	0
-53.9	16.3	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	-13.8	0
0	0	0	0	0
0	-82	0	9.52	0
-78	0	0	0	0
0	0	0	0	0
0	0	0	0	-58.1
0	0	0	0	0
0	0	0	54.1	0
0	0	0	0	0
0	-65.7	0	0	0
0	0	0	0	78.3
0	0	0	0	0
0	0	0	0	0
0	-67.4	-19.4	0	0
0	0	0	0	0
0	0	0	0	0.436
19.6	0	0	0	0
0	0	0	0	0
0	0	52.8	0	0
-69.5	-62.9	0	0	0
51.4	0	36.9	0	-50
-53.8	0	0	73.5	0
0	-41.9	0	0	0
0	-15.7	0	0	0
0	15.7	0	0	58
0	0	0	0	-35.2
0	0	0	0	0
-57.2	0	-59.5	9.11	0
0	0	0	21.6	-39.1
0	59.2	0	0	0
0	0	0	0	0
0	0	17.7	0	0
0	0	0	0	0
0	0	0	-59.9	0
0	0	0	0	0
0	-35.5	0	0	0
0	0	0	74.1	0
0	45.1	0	0	31.3
0	0	0	0	0
0	0	0	0	0
